Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Change,Cummulative change
09-Nov-2015,19192.55,19758.5,19171.8,19679.95,76550299,2548.1,0.00,0.00
10-Nov-2015,19629.05,19661.35,19273.55,19311.3,105014478,2591.11,-1.87,-1.87
11-Nov-2015,19462.75,19525.1,19462.75,19509.9,9467110,258.29,1.03,-0.86
13-Nov-2015,19391.75,19391.75,19151.1,19268.9,98204442,3344.89,-1.24,-2.09
16-Nov-2015,19232.65,19285.75,19104,19163.4,72198080,2467.5,-0.55,-2.62
17-Nov-2015,19283.45,19289.1,19173.4,19275.9,69028699,2199.54,0.59,-2.05
18-Nov-2015,19294.7,19356.6,19147.35,19182.75,63461425,2104.62,-0.48,-2.53
19-Nov-2015,19288.85,19413.35,19248.35,19397.95,63587617,2287.86,1.12,-1.43
20-Nov-2015,19446.7,19600.25,19413.45,19534.75,69404644,2302.67,0.71,-0.74
23-Nov-2015,19595.55,19663.15,19542.6,19577.2,68312561,2207.33,0.22,-0.52
24-Nov-2015,19600.3,19678.6,19574.65,19607.9,87539178,2387.44,0.16,-0.37
26-Nov-2015,19660.25,19709.4,19618.25,19627.75,112826672,3377.86,0.10,-0.27
27-Nov-2015,19714.9,19781.3,19626.15,19681.95,80671953,2186.94,0.28,0.01
30-Nov-2015,19709.95,19723,19596.45,19616.7,222306006,4646.67,-0.33,-0.32
01-Dec-2015,19714.25,19826.95,19710.45,19819.15,79606728,2408.92,1.03,0.71
02-Dec-2015,19869.6,19883,19756.3,19842.15,77085323,2331.72,0.12,0.82
03-Dec-2015,19793.1,19825.9,19671.8,19698.05,108690209,2699.48,-0.73,0.09
04-Dec-2015,19594,19666.9,19513.2,19540,127361679,2624.7,-0.80,-0.71
07-Dec-2015,19619.95,19647.95,19541.15,19552.25,74968020,2043.38,0.06,-0.65
08-Dec-2015,19487.6,19581.6,19340.2,19365.2,68760136,1922.04,-0.96,-1.60
09-Dec-2015,19334.75,19359.3,18991.15,19009.2,77463844,2394.87,-1.84,-3.41
10-Dec-2015,19096.15,19179.25,18937.55,19159.75,73594290,2359.4,0.79,-2.64
11-Dec-2015,19217.1,19267.9,18943.3,19003.35,79752787,2440.06,-0.82,-3.44
14-Dec-2015,18942.95,19145.45,18875.6,19098.4,79548437,2276.83,0.50,-2.96
15-Dec-2015,19145.35,19240.1,19110.95,19227.25,61196573,1915.08,0.67,-2.30
16-Dec-2015,19319.5,19400.15,19279.5,19302.9,69666728,2113.07,0.39,-1.92
17-Dec-2015,19404.8,19604.8,19378.5,19588.75,82808501,2572.36,1.48,-0.46
18-Dec-2015,19564.65,19686.5,19538.95,19593.85,81519781,2736.78,0.03,-0.44
21-Dec-2015,19610.95,19748.3,19584.9,19724.75,50978168,1742.8,0.67,0.23
22-Dec-2015,19746.1,19803.95,19646.2,19668.3,71164910,1777.78,-0.29,-0.06
23-Dec-2015,19741.45,19793.5,19718.3,19769.5,53632206,1508.67,0.51,0.46
24-Dec-2015,19835,19836.15,19739.4,19785.15,60457861,1861.82,0.08,0.53
28-Dec-2015,19813.95,19889.55,19813.5,19850.1,45600675,1561.83,0.33,0.86
29-Dec-2015,19886.25,19940.75,19856.2,19912.5,67567091,2224.82,0.31,1.18
30-Dec-2015,19953.95,19972.75,19830.25,19850,55328709,1947.81,-0.31,0.86
31-Dec-2015,19899.1,20005,19885.35,19977.05,121976894,3914.57,0.64,1.51
01-Jan-2016,19995.05,20182.15,19973.35,20169.45,54667934,1947.29,0.96,2.49
04-Jan-2016,20125.25,20263.7,19891.75,19956.85,90426157,2785.26,-1.05,1.41
05-Jan-2016,20031.05,20085.4,19925.6,20068.75,88504950,2974.01,0.56,1.98
06-Jan-2016,20089.9,20184.65,19956.65,20008.7,85270914,3049.94,-0.30,1.67
07-Jan-2016,19832.3,19842.2,19363.25,19408.15,87133988,2799.71,-3.00,-1.38
