Date,Cashflow,Price,Type,MarketValue,Units,InvestmentAmount,MarketValueAtAction,CumulativeGain,PrevGainPercent,GainPercent
2015-11-09,1000000.0,19679.95,Initial Invest,1000000.0,50.81,1000000,1000000.0,0.0,0.0,
2015-12-09,100000.0,19009.2,Invest,1065917.0,56.0737478801835,1100000,1065917.0,-34083.0,-3.0,-3.0
2016-01-08,100000.0,19598.75,Invest,1198975.0,61.17611410251911,1200000,1198975.0,-1025.0,0.0,-0.0
2016-02-08,100000.0,18219.15,Invest,1214577.0,66.66484436710336,1300000,1214577.0,-85423.0,-7.0,-7.0
2016-03-21,100000.0,18549.6,Invest,1336606.0,72.05579619355784,1400000,1336606.0,-63394.0,-5.0,-5.0
2016-04-20,100000.0,19395.1,Invest,1497529.0,77.21173764268674,1500000,1497529.0,-2471.0,0.0,-0.0
2016-05-20,100000.0,19098.2,Invest,1574605.0,82.4478331909583,1600000,1574605.0,-25395.0,-2.0,-2.0
2016-06-20,100000.0,19907.2,Invest,1741306.0,87.47114134077344,1700000,1741306.0,41306.0,3.0,2.0
2016-07-20,100000.0,21673.75,Invest,1995828.0,92.0850175735435,1800000,1995828.0,195828.0,12.0,11.0
2016-07-22,-100000.0,21980.35,Withdraw,1924061.0,87.54,1800000,1924061.0,124061.0,12.0,7.0
2016-08-19,100000.0,22925.2,Invest,2106769.0,91.89751159019305,1900000,2106769.0,206769.0,11.0,11.0
2016-09-22,100000.0,23220.7,Invest,2233925.0,96.20401397814862,2000000,2233925.0,233925.0,12.0,12.0
2016-10-24,100000.0,23677.55,Invest,2377875.0,100.42742391709923,2100000,2377875.0,277875.0,14.0,13.0
2016-11-23,100000.0,21417.65,Invest,2250919.0,105.09647024104234,2200000,2250919.0,50919.0,2.0,2.0
2016-12-23,100000.0,20798.35,Invest,2285833.0,109.90454395842858,2300000,2285833.0,-14167.0,-1.0,-1.0
2017-01-23,100000.0,22843.3,Invest,2610582.0,114.28219517344567,2400000,2610582.0,210582.0,9.0,9.0
2017-02-22,100000.0,24462.9,Invest,2895674.0,118.3700179581523,2500000,2895674.0,395674.0,16.0,16.0
2017-03-24,100000.0,24805.5,Invest,3036227.0,122.40138197016577,2600000,3036227.0,436227.0,17.0,17.0
2017-04-24,100000.0,26062.35,Invest,3290068.0,126.23833450898134,2700000,3290068.0,590068.0,23.0,22.0
